0	   0.0000000   	   0.5000000   	   1.0000000   	 -2.9310873E-1 	
1	   0.5000000   	   0.7500000   	   1.0000000   	 -1.1839639E-1 	 2.5000000E-1  
2	   0.7500000   	   0.8750000   	   1.0000000   	 -3.6817691E-2 	 1.2500000E-1  
3	   0.8750000   	   0.9375000   	   1.0000000   	 6.3391616E-4  	 6.2500000E-2  
4	   0.8750000   	   0.9062500   	   0.9375000   	 -1.7772289E-2 	 3.1250000E-2  
5	   0.9062500   	   0.9218750   	   0.9375000   	 -8.4865822E-3 	 1.5625000E-2  
6	   0.9218750   	   0.9296875   	   0.9375000   	 -3.9053586E-3 	 7.8125000E-3  
7	   0.9296875   	   0.9335938   	   0.9375000   	 -1.6304381E-3 	 3.9062500E-3  
8	   0.9335938   	   0.9355469   	   0.9375000   	 -4.9693532E-4 	 1.9531250E-3  
9	   0.9355469   	   0.9365234   	   0.9375000   	 6.8822445E-5  	 9.7656250E-4  
10	   0.9355469   	   0.9360352   	   0.9365234   	 -2.1397351E-4 	 4.8828125E-4  
11	   0.9360352   	   0.9362793   	   0.9365234   	 -7.2554788E-5 	 2.4414062E-4  
12	   0.9362793   	   0.9364014   	   0.9365234   	 -1.8609849E-6 	 1.2207031E-4  
13	   0.9364014   	   0.9364624   	   0.9365234   	 3.3482027E-5  	 6.1035156E-5  
14	   0.9364014   	   0.9364319   	   0.9364624   	 1.5810845E-5  	 3.0517578E-5  
15	   0.9364014   	   0.9364166   	   0.9364319   	 6.9750112E-6  	 1.5258789E-5  
16	   0.9364014   	   0.9364090   	   0.9364166   	 2.5570334E-6  	 7.6293945E-6  
17	   0.9364014   	   0.9364052   	   0.9364090   	 3.4802931E-7  	 3.8146973E-6  
18	   0.9364014   	   0.9364033   	   0.9364052   	 -7.5647653E-7 	 1.9073486E-6  
19	   0.9364033   	   0.9364042   	   0.9364052   	 -2.0422329E-7 	 9.5367432E-7  
20	   0.9364042   	   0.9364047   	   0.9364052   	 7.1903091E-8  	 4.7683716E-7  
21	   0.9364042   	   0.9364045   	   0.9364047   	 -6.6160079E-8 	 2.3841858E-7  
22	   0.9364045   	   0.9364046   	   0.9364047   	 2.8715108E-9  	 1.1920929E-7  
23	   0.9364045   	   0.9364045   	   0.9364046   	 -3.1644283E-8 	 5.9604645E-8  
